"lizard_id","date","time","x","y","utm_east","utm_north","notes","temp","humid","wind","cloud","time_20_beeps"
"CB3","2021-04-01","11:57",-115.431520840934,36.1605778076609,641081,4002899,"Out basking
Utm
0641081
4002899
Using shelter hole on NW side of Acacia",22.5,10.8,NA,"clear",38.67
"CB3","2021-04-02","11:35",-115.430078743609,36.1597438242749,641213,4002807,"Utm
0641213
4002807
Head out of shelter 
Old mating shelter ",24.8,12.9,NA,"clear",39.72
"CB25","2021-04-02","18:00",-115.406236229324,36.1649052353681,643352,4003420,"0643352
4003420",26,14.7,0.8,"clear",43.81
"CB25","2021-04-05","10:55",-115.40621185686,36.1649358133191,643351,4003420,"0643351E/4003420N Ryn device ",26.6,12.5,2.3,"clear",43.05
"CB3","2021-04-05","11:20",-115.428500535368,36.1590611185647,641356,4002725,"Utm
0641356
4002725
Familiar shelter",26.4,12.2,NA,"clear",39.09
"CB15","2021-04-05","12:10",-115.414795260984,36.1605089949781,642588,4002920,"0642588E/4002920N Ryn device",31.1,10.3,0.8,"clear",34.75
"CB31","2021-04-04","17:08",-115.419822715588,36.162332031328,642136,4003111,"0642136
4003111
Overwinter shelter. Couldn’t find entrance.",26.6,6.7,1.1,"partly cloudy",29.71
"CB25","2021-04-06","15:26",-115.406236229324,36.1649052353681,643352,4003420,"0643352
4003420",24.7,9,0.5,"clear",45.4
"CB31","2021-04-06","13:07",-115.419822715588,36.162332031328,642136,4003111,"0642136
4003111
Overwinter shelter. Couldn’t find entrance.",22.2,10.6,1.7,"clear",32.9
"CB25","2021-04-03","18:18",0,0,643352,4003420,"",26.3,11.3,1.4,"clear",39.68
"CB15","2021-04-03","17:22",0,0,642589,4002919,"",28.8,5.5,0.7,"clear",26.61
"CB13","2021-04-03","14:50",0,0,641864,4002981,"",33,7.4,0.5,"clear",33.35
"CB13","2021-04-04","18:30",0,0,641864,4002981,"",25.5,8.2,3,"partly cloudy",33.22
"CB3","2021-04-03","13:44",0,0,641212,4002806,"",28.5,5.8,1.5,"clear",38.13
"CB3","2021-04-05","11:06",0,0,641212,4002806,"",18.1,13.6,0.9,"clear",43.42
"CB15","2021-04-07","08:17",0,0,642589,4002919,"",18.5,14.4,1.1,"cloudy",NA
"CB15","2021-04-06","14:48",0,0,642589,4002919,"",24.8,9.1,0.5,"clear",36.28
"CB31","2021-04-07","08:00",0,0,642136,4003111,"",18.8,12.5,0.6,"partly cloudy",29.59
"CB13","2021-04-07","08:49",-115.421534125243,36.1605005509648,641979,4002905,"B048
0641979
4002905",18.8,14.2,0.6,"partly cloudy",37.6
"CB3","2021-04-07","09:12",-115.430070885746,36.1596864755401,641212,4002806,"B028 0641212 4002806",19,14.1,0.8,"partly cloudy",43.55
"CB25","2021-04-07","07:31",-115.406236229324,36.1649052353681,643352,4003420,"0643352
4003420",17.8,14.2,0.5,"partly cloudy",42.9
"CB15","2021-04-08","15:50",-115.414850696537,36.1600016221321,642588,4002860,"J110 0642588 4002860",28.8,13.5,1,"clear",39.2
"CB13","2021-04-08","16:17",-115.421536318149,36.1605050521802,641979,4002905,"B048 0641979 4002905",26.6,9.3,2.4,"clear",31.9
"CB3","2021-04-08","16:42",-115.430070885746,36.1596864755401,641212,4002806,"B028 0641212 4002806",26.6,8.6,0.9,"clear",35.8
"CB25","2021-04-08","15:09",-115.406236229324,36.1649052353681,643352,4003420,"J108 0643352
4003420",28.8,17.3,1.4,"clear",43.26
"CB13","2021-04-06","12:00",-115.421534125243,36.1605005509648,641979,4002905,"B048
0641979
4002905",18.5,12.1,2.7,"clear",36.87
"CB31","2021-04-08","15:48",0,0,642136,4003111,"",29.5,12.7,0.8,"clear",30.13
"CB31","2021-04-11","08:46",-115.419671097878,36.1625194782728,642136,4003113,"0642136, 4003113
Overwintering shelter, same location w/ strongest signal
No visual
",20.7,9.6,0.4,"partly cloudy",29.61
"CB3","2021-04-11","11:47",-115.430110506821,36.1597260414028,641211,4002807,"0641211, 4002807
Snout visible at entrance
",28.4,9.4,1.2,"partly cloudy",NA
"CB13","2021-04-09","13:16",-115.419926296166,36.1601590568806,642124,4002866,"J015 0642124 4002866
First photo is shelter entrance, second photo is crack in rock where the strongest beep is.",26.3,16.8,0.5,"partly cloudy",37.21
"CB31","2021-04-09","12:26",-115.419822715588,36.162332031328,642136,4003111,"J109 0642136 4003111
Overwinter shelter. Couldn’t find entrance.",22.2,16.5,1.5,"cloudy",29.54
"CB25","2021-04-10","12:36",-115.406236229324,36.1649052353681,643352,4003420,"J108 0643352 4003420",27,14.2,1.2,"clear",43.06
"CB15","2021-04-10","13:13",-115.414850696537,36.1600016221321,642588,4002860,"J110 0642588 4002860",27.4,13.1,1,"clear",35.37
"CB3","2021-04-10","14:06",-115.430070885746,36.1596864755401,641212,4002806,"B028 0641212 4002806",27.4,12.6,1,"clear",35.5
"CB25","2021-04-11","12:16",-115.406236229324,36.1649052353681,643352,4003420,"J108 0643352
4003420",27.2,11.4,2.1,"partly cloudy",42.68
"CB13","2021-04-10","13:33",-115.419926296166,36.1601590568806,642124,4002866,"J015 0642124 4002866
First photo is shelter entrance, second photo is crack in rock where the strongest beep is.",28.6,12.1,1,"clear",36.5
"CB25","2021-04-13","11:40",-115.406236229324,36.1649052353681,643352,4003420,"J108 0643352
4003420",25.8,16.3,1.8,"clear",41.99
"CB15","2021-04-13","12:15",0,0,642508,4002786,"B058",28,15.1,1,"clear",38.93
"CB25","2021-04-14","07:26",-115.406236229324,36.1649052353681,643352,4003420,"J108 0643352
4003420",14,27.4,0.8,"clear",41.67
"CB15","2021-04-14","08:03",0,0,642541,4002845,"B026",14.2,30.6,1.4,"clear",37.45
"CB3","2021-04-14","08:33",-115.430070885746,36.1596864755401,641212,4002806,"B028 0641212 4002806",16.5,33.6,0.6,"clear",43.34
"CB13","2021-04-18","10:13",-115.419858265776,36.1602148320863,642124,4002870,"0642124E/4002870N Ryn device",19.8,16.2,1.4,"clear",39.48
"CB3","2021-04-18","11:25",-115.430107824612,36.1597565934399,641212,4002806,"0641212E/4002806N Ryn device",22.3,13.7,0.8,"clear",42
